ID	ATP7A	FDX1	LIAS	LIPT1	DLD	MTF1	CDKN2A	Cluster
GSM2449819_Treat	7.57524	7.040614	6.700992	7.617865	7.900419	7.783726	4.669306	C2
GSM2449820_Treat	7.723502	6.854274	6.317963	7.279792	7.722176	8.595503	4.728426	C1
GSM2449821_Treat	7.632956	6.820688	6.688962	7.270336	7.879058	7.885149	4.585771	C2
GSM2449822_Treat	7.565228	6.751892	6.602742	7.448495	7.967206	8.132693	4.867261	C2
GSM2449823_Treat	7.353922	6.79897	6.464971	7.085786	7.42612	8.240494	4.47226	C1
GSM2449824_Treat	7.317991	6.835374	6.679265	7.44434	7.72039	8.051197	4.585581	C2
GSM2449825_Treat	7.704247	6.886628	6.426558	7.41818	7.568898	8.0334	4.517401	C1
GSM2449826_Treat	7.768933	6.822344	6.198226	7.280926	7.537347	8.185202	4.5005	C1
GSM2449827_Treat	7.642582	6.922731	6.876818	7.340491	7.785525	7.869526	4.63708	C2
GSM2449828_Treat	7.015872	6.957412	6.65585	7.403589	7.921363	7.847512	4.589374	C2
GSM2449829_Treat	7.361214	6.585377	6.543643	7.187022	7.693536	8.538489	4.798827	C1
GSM2449830_Treat	7.341224	6.690009	6.307445	7.384799	7.566006	8.033941	4.552741	C1
GSM2449831_Treat	6.938476	6.607379	6.557409	7.01333	7.547845	8.246998	4.755504	C1
GSM2449832_Treat	7.068545	6.908707	6.5137	7.442384	7.540731	7.997757	4.701576	C2
GSM2449833_Treat	7.570132	6.554851	6.328672	7.167405	7.586267	8.245151	4.712876	C1
GSM2449834_Treat	7.479417	6.927256	6.791105	7.580237	7.69002	8.047076	4.919353	C2
GSM2449835_Treat	7.340873	7.038393	6.482511	7.275576	7.638662	8.321279	4.788873	C1
GSM2449836_Treat	7.502332	6.693827	6.620733	7.260541	7.781455	8.251197	4.644627	C1
GSM2449837_Treat	7.789155	6.844885	6.204328	7.243817	7.911331	8.393663	4.613391	C1
GSM2449839_Treat	7.793161	6.713671	6.285137	7.23474	7.616495	8.22307	4.402645	C1
GSM2449840_Treat	7.312706	6.823693	6.515959	7.412204	7.593892	8.112432	4.666144	C1
GSM2449841_Treat	7.220218	6.869939	6.439031	7.453961	7.72307	7.9607	4.47246	C2
