id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
GSM2449685_Treat	0.0119609328020816	0.00555971671236441	0.00467017859291878	0.127706863836847	0.0214891786060647	0	0.0504302907850026	0	0	0	0.166289440938043	0	0.176979727551714	0.00132259502693878	0	0	0	0.00234828874525632	0.00693105844440376	0	0.0106389602727803	0.413672767685585
GSM2449686_Treat	0.00978851700544003	0.0225132144196728	0	0.0904681597010239	0.143172965029879	0	0.0323883118371991	0	0	0	0.186071439254308	0	0.147326700973127	0	0	0	0	0.00773687277247682	0.00617282489552118	0	0	0.354360994111352
GSM2449687_Treat	0.0267221289324269	0	0.000405523902059606	0.0384736895450008	0.172664243899485	0	0.066779181116665	0	0.00888794915012342	0.0189020609023922	0.174959592063322	0	0.134441895745057	0	0.000417478277886359	0	0.00460921876260254	0.00763137066068389	7.37192797475958e-05	0	0	0.345031947762547
GSM2449688_Treat	0.0188520352637331	0	0.00345455670180074	0.0844052396182138	0.0711923692346649	0	0.0976237736980601	0	0	0	0.203816655970332	0	0.112236392334556	0	0	0	0	0.00644931161719197	0.00965701319235363	0	0	0.392312652369093
GSM2449689_Treat	0	0.00401282423249451	0.00635883928600498	0.0593449800929107	0.102911458608991	0	0.0294393336319364	0.00810967847344667	0	0.027954252865454	0.117810159219646	0	0.131538153755973	0	0.000823717833144785	0	0.00223032101549533	0.0102614473972188	0	0	0	0.499204833587284
GSM2449690_Treat	0.00744016964375397	0.00453759882970694	0	0.0673345611555475	0.0832178517426551	0	0.0405482014785834	0	0	0.00669437879497602	0.0594761527458448	0	0.159320212559724	0	0	0	0	0.00448607145639088	0.0207272367500048	0	0	0.546217564842812
GSM2449691_Treat	0.0405618548897799	0.0170413138880581	0	0.194081725669649	0.129308251274823	0	0.0472703825670791	0	0.00273148002607597	0	0.218025030950274	0	0.101410215802566	0	0	0.00178640607876814	0	0.000485287777006122	0.0110859302136339	0	0	0.236212120862287
GSM2449692_Treat	0.0197941056059479	0	0.00225580266071357	0.0541306983675879	0.0664493683361051	0	0.0336420201781413	0	0.00216114899487106	0	0.157756596231746	0	0.163382676520618	0.00569539974691727	0	0.000898355139390609	0	0.000412201982665718	0.00666076549398727	0	0	0.486760860741308
GSM2449693_Treat	0.0043765642604363	0	0.00515999529542166	0.0625839554568716	0.0282430789472062	0	0.0387089725730168	0	0	0.0626263297463474	0.203587569412546	0	0.159388714664053	0.00415706529820697	0	0	0	0.00278606656418612	0	0	0	0.428381687781708
GSM2449694_Treat	0.0213155693629532	0	0	0.255626456987112	0.0387614345105177	0	0.0647248024940112	0	0.00170337694826841	0.000175707752870821	0.193935996716845	0	0.0888025441289287	0	0	0.00119463606386718	0	0.00199549995662533	0	0	0	0.331763975078001
GSM2449695_Treat	0.0349799097740846	0	0	0.205172004087229	0.0841898925620523	0	0.0453873928172082	0	0	0.00497652757838492	0.180040475586996	0	0.175490498823503	0	0	0	0	0.00322984433417653	0.0027920956686178	0	0	0.263741358767747
GSM2449696_Treat	0.0164805088254702	0.00190037251474551	0.00151865221695822	0.057519685176696	0.130695583100145	0	0.0370865758181326	0	0.00271760708800834	0	0.143070046493405	0	0.158070664471519	0.00848195918936446	0	0.00133038680411206	0	0.00135384126654739	0.00535440580413509	0	0.0185603750032463	0.415859336227515
GSM2449697_Treat	0.0245868892858313	0.00739544194031101	0	0.185514094874882	0.131043697637105	0	0.0449566763794329	0	0	0	0.159173005112024	0	0.15369099842245	0	0	0	0	0.00550514879652181	0.0144458790826523	0	0	0.273688168468789
GSM2449698_Treat	0.0350413190678233	0	0	0.199660273498866	0.0948382339010077	0	0.0501290988432979	0	0.00801418821037696	0	0.151441879682015	0	0.172290543541805	0	0	0.000413732884165428	0	0.00115737621615212	0.00902636356309271	0	0	0.277986990591398
GSM2449699_Treat	0.0358719530504377	0	0.00207967470741249	0.0612187095403405	0.164223850165084	0	0.0569270326183684	0	0	0	0.16374257502949	0	0.241606081511741	0	0	0.000380143844977699	0	0.00497701903355019	0.0117213868013731	0	0	0.257251573697226
GSM2449700_Treat	0.0335983600762849	0	0.00446296857145702	0.0715120432529716	0.0469918173840205	0	0.0630708261302687	0	0	0.0241182561905101	0.115256178850113	0	0.094147819901307	0.00212522366069262	0.00128597728765254	0	0	0.00290103048815017	0.0154005356916584	0	0	0.525128962514913
GSM2449701_Treat	0.0113822581335532	0.00128235134404202	0.00358652661549659	0.116110559409347	0.105852672241227	0	0.0463911141475528	0	0.00215853605423994	0	0.162487880200893	0	0.143437787068425	0	0	0	0	0.0013854601220602	0.0154837479120538	0	0	0.39044110675111
GSM2449702_Treat	0.036997093247573	0.0011770050462104	0	0.235439539249477	0.200916119372945	0	0.046224983400235	0	0.00940605658010027	0	0.197397798055659	0	0.0599371333458503	0	0.00445228406013183	0	0.00998991784123577	0.00789855218633696	0.000956107008271409	0	0	0.189207410605974
GSM2449703_Treat	0	0.0161340793044227	0.00598349732604283	0.088486904841792	0.0591101873363533	0	0.0285121514595274	0	0	0	0.190842807283044	0	0.0827141727655977	0.0137928962191882	0	0	0	0.00269450026860104	0.00493544991847761	0	0	0.506793353276953
